date,value,minValue,maxValue
0,0.03,0.03,0.03
300,0.03,0.03,0.03
600,0.03,0.03,0.03
900,0.0282995,0.02,0.03
1200,0.03,0.03,0.03
1500,0.03,0.03,0.03
1800,0.03,0.03,0.03
2100,0.03,0.03,0.03
2400,0.03,0.03,0.03
2700,0.03,0.03,0.03
3000,0.03,0.03,0.03
3300,0.03,0.03,0.03
3600,0.0283001,0.02,0.03
3900,0.03,0.03,0.03
4200,0.0282984,0.02,0.03
4500,0.03,0.03,0.03
4800,0.03,0.03,0.03
5100,0.0283001,0.02,0.03
5400,0.03,0.03,0.03
5700,0.0252779,0,0.03
6000,0.03,0.03,0.03
6300,0.03,0.03,0.03
6600,0.03,0.03,0.03
6900,0.03,0.03,0.03
7200,0.03,0.03,0.03
7500,0.03,0.03,0.03
7800,0.03,0.03,0.03
8100,0.03,0.03,0.03
8400,0.03,0.03,0.03
8700,0.03,0.03,0.03
9000,0.03,0.03,0.03
9300,0.03,0.03,0.03
9600,0.03,0.03,0.03
9900,0.03,0.03,0.03
10200,0.03,0.03,0.03
10500,0.03,0.03,0.03
10800,0.0286287,0.02,0.03
11100,0.0296713,0.02,0.03
11400,0.0290337,0.02,0.03
11700,0.0292652,0.02,0.03
12000,0.03,0.03,0.03
12300,0.03,0.03,0.03
12600,0.0283004,0.02,0.03
12900,0.0282996,0.02,0.03
13200,0.03,0.03,0.03
13500,0.0282991,0.02,0.03
13800,0.03,0.03,0.03
14100,0.03,0.03,0.03
14400,0.03,0.03,0.03
14700,0.03,0.03,0.03
15000,0.03,0.03,0.03
15300,0.0282979,0.02,0.03
15600,0.03,0.03,0.03
15900,0.03,0.03,0.03
16200,0.03,0.03,0.03
16500,0.03,0.03,0.03
16800,0.023537,-0,0.03
17100,0.03,0.03,0.03
17400,0.03,0.03,0.03
17700,0.03,0.03,0.03
18000,0.03,0.03,0.03
18300,0.03,0.03,0.03
18600,0.03,0.03,0.03
18900,0.0282996,0.02,0.03
19200,0.03,0.03,0.03
19500,0.03,0.03,0.03
19800,0.03,0.03,0.03
