date,value
2019-07-12 09:41:44,11168460.4533333
2019-07-12 09:46:44,11168460.4533333
2019-07-12 09:51:44,11168460.4533333
2019-07-12 09:56:44,11168460.4533333
2019-07-12 10:01:44,11168460.4533333
2019-07-12 10:06:44,11168460.4533333
2019-07-12 10:11:44,11168460.4533333
2019-07-12 10:16:44,11168460.4533333
2019-07-12 10:21:44,11168460.4533333
2019-07-12 10:26:44,11168460.4533333
2019-07-12 10:31:44,11168460.4533333
2019-07-12 10:36:44,11168460.4533333
2019-07-12 10:41:44,11168460.4533333
2019-07-12 10:46:44,11168460.4533333
2019-07-12 10:51:44,11168460.4533333
2019-07-12 10:56:44,11168460.4533333
2019-07-12 11:01:44,11168460.4533333
2019-07-12 11:06:44,11168460.4533333
2019-07-12 11:11:44,11168460.4533333
2019-07-12 11:16:44,11168460.4533333
2019-07-12 11:21:44,11168460.4533333
2019-07-12 11:26:44,11168460.4533333
2019-07-12 11:31:44,11168460.4533333
2019-07-12 11:36:44,11168460.4533333
2019-07-12 11:41:44,11168460.4533333
2019-07-12 11:46:44,11168460.4533333
2019-07-12 11:51:44,11168460.4533333
2019-07-12 11:56:44,11168460.4533333
2019-07-12 12:01:44,11168460.4533333
2019-07-12 12:06:44,11168460.4533333
2019-07-12 12:11:44,11168460.4533333
2019-07-12 12:16:44,11168460.4533333
2019-07-12 12:21:44,11168460.4533333
2019-07-12 12:26:44,11168460.4533333
2019-07-12 12:31:44,11168460.4533333
2019-07-12 12:36:44,11168460.4533333
2019-07-12 12:41:44,11168460.4533333
2019-07-12 12:46:44,11168460.4533333
2019-07-12 12:51:44,11168460.4533333
2019-07-12 12:56:44,11168460.4533333
2019-07-12 13:01:44,11168460.4533333
2019-07-12 13:06:44,11168460.4533333
2019-07-12 13:11:44,11168460.4533333
2019-07-12 13:16:44,11168460.4533333
2019-07-12 13:21:44,11168460.4533333
2019-07-12 13:26:44,11168460.4533333
2019-07-12 13:31:44,11168460.4533333
2019-07-12 13:36:44,11168460.4533333
2019-07-12 13:41:44,11168460.4533333
2019-07-12 13:46:44,11168460.4533333
2019-07-12 13:51:44,11168460.4533333
2019-07-12 13:56:44,11168460.4533333
2019-07-12 14:01:44,11168460.4533333
2019-07-12 14:06:44,11168460.4533333
2019-07-12 14:11:44,11168460.4533333
2019-07-12 14:16:44,11168460.4533333
2019-07-12 14:21:44,11168460.4533333
2019-07-12 14:26:44,11168460.4533333
2019-07-12 14:31:44,11168460.4533333
