date,value,minValue,maxValue
0,149.567,149,151
300,149.292,149,152
600,149.287,149,151
900,149.541,149,151
1200,149.389,149,151
1500,149.801,149,151
1800,149.059,149,151
2100,149.176,149,151
2400,149.322,149,151
2700,149.314,149,151
3000,149.601,149,151
3300,150.663,149,153
3600,149.868,149,153
3900,149.868,149,151
4200,149.134,149,151
4500,149.066,149,151
4800,149,149,149
5100,149.189,149,151
5400,149.078,149,151
5700,149.134,149,151
6000,149.533,149,151
6300,149.534,149,151
6600,149.656,149,151
6900,149.944,149,153
7200,149.462,149,151
7500,149.83,149,153
7800,150.076,149,153
8100,149.485,149,151
8400,149,149,149
8700,149.334,149,151
9000,149.334,149,151
9300,149.133,149,151
9600,149.201,149,151
9900,149.269,149,151
10200,149.138,149,151
10500,149,149,149
10800,149.329,149,151
11100,149.133,149,151
11400,149.466,149,151
11700,149.535,149,151
12000,149.267,149,151
12300,149.466,149,151
12600,149.2,149,151
12900,149.134,149,151
13200,149.467,149,151
13500,149.335,149,151
13800,149.334,149,151
14100,149.133,149,151
14400,149.2,149,151
14700,149.133,149,151
15000,149.133,149,151
15300,149,149,149
15600,149.007,149,151
15900,149.598,149,151
16200,149.097,149,151
16500,149.899,149,151
16800,149.13,149,151
17100,149.599,149,151
17400,149.534,149,151
17700,149.2,149,151
18000,149,149,149
18300,149.935,149,153
18600,149.401,149,151
18900,149.534,149,151
19200,149.2,149,151
19500,149.401,149,151
19800,149.067,149,151
20100,149.067,149,151
20400,149.201,149,151
20700,149.4,149,151
21000,149.334,149,151
21300,149.063,149,151
21600,149.078,149,151
21900,149.524,149,151
22200,149.133,149,151
22500,149.201,149,151
22800,149.134,149,151
23100,149.467,149,151
23400,149.072,149,151
23700,149.214,149,151
24000,149.136,149,151
24300,149.133,149,151
24600,149.067,149,151
24900,149.067,149,151
25200,149.134,149,151
25500,149.133,149,151
25800,149.2,149,151
26100,149.067,149,151
26400,149.333,149,151
26700,149.467,149,151
27000,149.305,149,151
27300,149,149,149
27600,149.162,149,151
27900,149.779,149,151
28200,149.267,149,151
28500,149.067,149,151
28800,149,149,149
29100,149,149,149
29400,149.126,149,151
29700,149.13,149,151
30000,149.199,149,151
30300,149.466,149,151
30600,149.066,149,151
30900,149.134,149,151
31200,149.2,149,151
31500,150.335,149,153
31800,149.267,149,151
32100,149.401,149,151
32400,149,149,149
32700,149.2,149,151
