date,value,minValue,maxValue
0,-19887.2,-nan(ind),-nan(ind)
300,-19912.6,-nan(ind),-nan(ind)
600,-19915,-nan(ind),-nan(ind)
900,-19918.2,-nan(ind),-nan(ind)
1200,-19907,-nan(ind),-nan(ind)
1500,-19893.8,-nan(ind),-nan(ind)
1800,-19893,-nan(ind),-nan(ind)
2100,-19903,-nan(ind),-nan(ind)
2400,-19923.4,-nan(ind),-nan(ind)
2700,-20018.6,-nan(ind),-nan(ind)
3000,-20180.8,-nan(ind),-nan(ind)
3300,-20353.7,-nan(ind),-nan(ind)
3600,-20497.2,-nan(ind),-nan(ind)
3900,-20616.3,-nan(ind),-nan(ind)
4200,-20730.7,-nan(ind),-nan(ind)
4500,-20889.1,-nan(ind),-nan(ind)
4800,-21053.3,-nan(ind),-nan(ind)
5100,-21211.1,-nan(ind),-nan(ind)
5400,-21314.4,-nan(ind),-nan(ind)
5700,-21434,-nan(ind),-nan(ind)
6000,-21530.1,-nan(ind),-nan(ind)
6300,-21632.4,-nan(ind),-nan(ind)
6600,-21732.8,-nan(ind),-nan(ind)
6900,-21829.1,-nan(ind),-nan(ind)
7200,-21856.8,-nan(ind),-nan(ind)
7500,-21835.1,-nan(ind),-nan(ind)
7800,-21671.9,-nan(ind),-nan(ind)
8100,-21368.4,-nan(ind),-nan(ind)
8400,-20969.3,-nan(ind),-nan(ind)
8700,-20558.6,-nan(ind),-nan(ind)
9000,-20240.2,-nan(ind),-nan(ind)
9300,-19921,-nan(ind),-nan(ind)
9600,-19671.6,-nan(ind),-nan(ind)
9900,-19397.4,-nan(ind),-nan(ind)
10200,-19153.1,-nan(ind),-nan(ind)
10500,-18912.6,-nan(ind),-nan(ind)
10800,-18713.8,-nan(ind),-nan(ind)
11100,-18506.6,-nan(ind),-nan(ind)
11400,-18365.5,-nan(ind),-nan(ind)
11700,-18250.8,-nan(ind),-nan(ind)
12000,-18179.4,-nan(ind),-nan(ind)
12300,-18132,-nan(ind),-nan(ind)
12600,-18056.9,-nan(ind),-nan(ind)
12900,-17989.3,-nan(ind),-nan(ind)
13200,-17964.4,-nan(ind),-nan(ind)
13500,-17929,-nan(ind),-nan(ind)
13800,-17881.4,-nan(ind),-nan(ind)
14100,-17830.4,-nan(ind),-nan(ind)
14400,-17776.1,-nan(ind),-nan(ind)
14700,-17711.3,-nan(ind),-nan(ind)
15000,-17641.7,-nan(ind),-nan(ind)
15300,-17567.6,-nan(ind),-nan(ind)
15600,-17506.8,-nan(ind),-nan(ind)
15900,-17450.1,-nan(ind),-nan(ind)
16200,-17357,-nan(ind),-nan(ind)
