date,value
2019-07-22 01:00:00,23.5333333333333
2019-07-22 01:05:00,11.1066666666667
2019-07-22 01:10:00,9.20333333333333
2019-07-22 01:15:00,11.67
2019-07-22 01:20:00,9.92666666666667
2019-07-22 01:25:00,10.2833333333333
2019-07-22 01:30:00,14.8766666666667
2019-07-22 01:35:00,9.96
2019-07-22 01:40:00,9.68666666666667
2019-07-22 01:45:00,9.22
2019-07-22 01:50:00,7.03
2019-07-22 01:55:00,8.8
2019-07-22 02:00:00,38.31
2019-07-22 02:05:00,66.2266666666667
2019-07-22 02:10:00,56.5566666666667
2019-07-22 02:15:00,54.4366666666667
2019-07-22 02:20:00,48.5466666666667
2019-07-22 02:25:00,19.8233333333333
2019-07-22 02:30:00,18.0433333333333
2019-07-22 02:35:00,17.4133333333333
2019-07-22 02:40:00,10.3166666666667
2019-07-22 02:45:00,10.69
2019-07-22 02:50:00,9.71
2019-07-22 02:55:00,10.1733333333333
2019-07-22 03:00:00,17.4133333333333
2019-07-22 03:05:00,9.59666666666667
2019-07-22 03:10:00,8.71666666666667
2019-07-22 03:15:00,18.56
2019-07-22 03:20:00,7.48333333333333
2019-07-22 03:25:00,8.72
2019-07-22 03:30:00,12.9866666666667
2019-07-22 03:35:00,7.60666666666667
2019-07-22 03:40:00,7.44333333333333
2019-07-22 03:45:00,9.87666666666667
2019-07-22 03:50:00,7.79333333333333
2019-07-22 03:55:00,7.99
2019-07-22 04:00:00,17.8
2019-07-22 04:05:00,11.37
2019-07-22 04:10:00,8.23
2019-07-22 04:15:00,9.73666666666667
2019-07-22 04:20:00,7.88
2019-07-22 04:25:00,8.64333333333333
2019-07-22 04:30:00,12.75
2019-07-22 04:35:00,8.57333333333333
2019-07-22 04:40:00,8.39666666666667
2019-07-22 04:45:00,10.1233333333333
2019-07-22 04:50:00,7.55333333333333
2019-07-22 04:55:00,7.84666666666667
2019-07-22 05:00:00,25.3066666666667
2019-07-22 05:05:00,8.0
2019-07-22 05:10:00,8.82333333333333
2019-07-22 05:15:00,11.0066666666667
2019-07-22 05:20:00,7.92333333333333
2019-07-22 05:25:00,7.52
2019-07-22 05:30:00,12.8366666666667
2019-07-22 05:35:00,7.89
2019-07-22 05:40:00,8.51333333333333
2019-07-22 05:45:00,10.54
2019-07-22 05:50:00,8.30666666666667
2019-07-22 05:55:00,8.77
