date,value,minValue,maxValue
2015-01-06 08:07:20,63.913,-nan(ind),-nan(ind)
2015-01-06 08:12:20,61.25,-nan(ind),-nan(ind)
2015-01-06 08:17:20,65.4091,-nan(ind),-nan(ind)
2015-01-06 08:22:20,62.5652,-nan(ind),-nan(ind)
2015-01-06 08:27:20,148.667,-nan(ind),-nan(ind)
2015-01-06 08:32:20,148.667,-nan(ind),-nan(ind)
2015-01-06 08:37:20,133.296,-nan(ind),-nan(ind)
2015-01-06 08:42:20,129.5,-nan(ind),-nan(ind)
2015-01-06 08:47:20,129.5,-nan(ind),-nan(ind)
2015-01-06 08:52:20,129.5,-nan(ind),-nan(ind)
2015-01-06 08:57:20,129.5,-nan(ind),-nan(ind)
2015-01-06 09:02:20,129.5,-nan(ind),-nan(ind)
2015-01-06 09:07:20,149.464,-nan(ind),-nan(ind)
2015-01-06 09:12:20,82.2414,-nan(ind),-nan(ind)
2015-01-06 09:17:20,80.4667,-nan(ind),-nan(ind)
2015-01-06 09:22:20,77.9355,-nan(ind),-nan(ind)
2015-01-06 09:27:20,83.3103,-nan(ind),-nan(ind)
2015-01-06 09:32:20,83.3103,-nan(ind),-nan(ind)
2015-01-06 09:37:20,97.0345,-nan(ind),-nan(ind)
2015-01-06 09:42:20,99.5357,-nan(ind),-nan(ind)
2015-01-06 09:47:20,99.5357,-nan(ind),-nan(ind)
2015-01-06 09:52:20,72.68,-nan(ind),-nan(ind)
2015-01-06 09:57:20,74.5,-nan(ind),-nan(ind)
2015-01-06 10:02:20,74.5,-nan(ind),-nan(ind)
2015-01-06 10:07:20,75.3077,-nan(ind),-nan(ind)
2015-01-06 10:12:20,72.6296,-nan(ind),-nan(ind)
2015-01-06 10:17:20,72.6296,-nan(ind),-nan(ind)
2015-01-06 10:22:20,71.7037,-nan(ind),-nan(ind)
2015-01-06 10:27:20,71.7037,-nan(ind),-nan(ind)
2015-01-06 10:32:20,71.7037,-nan(ind),-nan(ind)
2015-01-06 10:37:20,73,-nan(ind),-nan(ind)
2015-01-06 10:42:20,73,-nan(ind),-nan(ind)
2015-01-06 10:47:20,130.862,-nan(ind),-nan(ind)
2015-01-06 10:52:20,135.536,-nan(ind),-nan(ind)
2015-01-06 10:57:20,135.536,-nan(ind),-nan(ind)
2015-01-06 11:02:20,140.556,-nan(ind),-nan(ind)
2015-01-06 11:07:20,152.917,-nan(ind),-nan(ind)
2015-01-06 11:12:20,172.286,-nan(ind),-nan(ind)
2015-01-06 11:17:20,172.476,-nan(ind),-nan(ind)
2015-01-06 11:22:20,165.409,-nan(ind),-nan(ind)
2015-01-06 11:27:20,149,-nan(ind),-nan(ind)
2015-01-06 11:32:20,143.962,-nan(ind),-nan(ind)
2015-01-06 11:37:20,143.962,-nan(ind),-nan(ind)
2015-01-06 11:42:20,138.667,-nan(ind),-nan(ind)
2015-01-06 11:47:20,138.667,-nan(ind),-nan(ind)
2015-01-06 11:52:20,133.75,-nan(ind),-nan(ind)
2015-01-06 11:57:20,138.667,-nan(ind),-nan(ind)
2015-01-06 12:02:20,112.321,-nan(ind),-nan(ind)
2015-01-06 12:07:20,119.308,-nan(ind),-nan(ind)
2015-01-06 12:12:20,119.308,-nan(ind),-nan(ind)
2015-01-06 12:17:20,117.556,-nan(ind),-nan(ind)
2015-01-06 12:22:20,116.259,-nan(ind),-nan(ind)
2015-01-06 12:27:20,113,-nan(ind),-nan(ind)
2015-01-06 12:32:20,669.185,-nan(ind),-nan(ind)
2015-01-06 12:37:20,1459.52,-nan(ind),-nan(ind)
2015-01-06 12:42:20,1511,-nan(ind),-nan(ind)
