,Unnamed: 0,time,values
0,0,0,-0.34444816528572414
1,1,1,-0.6101807916677459
2,2,2,0.9746587668378326
3,3,3,0.17135382008068611
4,4,4,0.4252829157806327
5,5,5,-0.6588342262945908
6,6,6,-1.319655122707431
7,7,7,0.23603370463882126
8,8,8,0.3823601087624233
9,9,9,0.14893945318520477
10,10,10,-1.2141587440828863
11,11,11,-0.6362067242078733
12,12,12,-0.016225582731637656
13,13,13,-0.4140928296369615
14,14,14,0.30441324184682206
15,15,15,-0.20283837541182323
16,16,16,-0.2127268036497135
17,17,17,0.6567470339306016
18,18,18,-1.6752162666266528
19,19,19,0.7411369506390728
20,20,20,-0.7223813711559722
21,21,21,-1.0007233060241965
22,22,22,0.8513353050943937
23,23,23,0.5324505078720949
24,24,24,0.128983378728006
25,25,25,-0.4817226711064363
26,26,26,-0.29006727621047856
27,27,27,-0.022464940384490983
28,28,28,-0.5932812440746723
29,29,29,0.16684185375914048
30,30,30,-0.7422033254074536
31,31,31,-0.14105671202788592
32,32,32,-0.7379442388452315
33,33,33,1.0847655734055073
34,34,34,0.36974788405890724
35,35,35,-0.19866283446769237
36,36,36,0.09752250889654102
37,37,37,-0.4537790278475722
38,38,38,0.3358496493685006
39,39,39,-0.496127816181152
40,40,40,0.031085506013188872
41,41,41,1.5486527181726062
42,42,42,-0.014352606156495279
43,43,43,0.6089781583765591
44,44,44,-0.5953526604839708
45,45,45,-1.0442067219604036
46,46,46,-0.1985286421142628
47,47,47,0.29387952371040255
48,48,48,0.09143074475342178
49,49,49,-0.005036055403693798
50,50,50,0.2875715975971632
51,51,51,-0.24266632216266498
52,52,52,0.46270046034357104
53,53,53,-0.5893779082813775
54,54,54,-0.837394069400477
55,55,55,-0.7486759488120264
56,56,56,-0.35756331241654454
57,57,57,-0.4469059589289016
58,58,58,0.7363625522388848
59,59,59,-0.3048662283749155
60,60,60,-0.02021534453415031
61,61,61,-1.2169262495626234
62,62,62,-1.051638007134834
63,63,63,-0.15030780416387396
64,64,64,-0.8874486857347379
65,65,65,-0.5239388147062941
66,66,66,-0.684165673018422
67,67,67,0.4691591385803542
68,68,68,-0.007246737142548421
69,69,69,-0.5724899686989181
70,70,70,-0.4439668008701246
71,71,71,0.14535135682583525
72,72,72,-1.5002270447747375
73,73,73,-0.01027995544137418
74,74,74,-0.8261842973708173
75,75,75,0.28460957579550505
76,76,76,-0.4682582326155345
77,77,77,-0.23938971685849458
78,78,78,0.05449123972735381
79,79,79,0.4332132879244899
80,80,80,-0.4672492607622187
81,81,81,-0.24719125359978167
82,82,82,0.483080671809121
83,83,83,0.2120759939185243
84,84,84,-0.394450858398901
85,85,85,-0.17365376505280225
86,86,86,-0.5878187270165933
87,87,87,-0.11223476173805402
88,88,88,0.18703319424094705
89,89,89,-1.1096867246392386
90,90,90,0.17776843598970665
91,91,91,-0.10763096533277464
92,92,92,-0.1790067982672957
93,93,93,0.3900421122753537
